127.0.0.1 - - [25/Nov/2021:10:45:10 +0900] "GET / HTTP/1.1" 404 807
192.168.0.158 - - [25/Nov/2021:10:45:16 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:16 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:16 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:16 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:16 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:17 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:18 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:19 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:20 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:21 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:22 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:23 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:25 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:26 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:27 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:28 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:29 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:30 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:31 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:32 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:33 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:34 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:35 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:36 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:37 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:38 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:49 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:50 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:51 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:52 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:53 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:54 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:55 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:57 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:58 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:45:59 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:00 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:02 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:03 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:04 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:05 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:06 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:07 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:08 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:09 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:11 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:12 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:13 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:14 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:15 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:16 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:17 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:18 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:19 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:20 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:21 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:22 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:23 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:24 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:25 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:26 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:27 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:28 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:29 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:30 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:31 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:46:32 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:50:05 +0900] "POST /semi/btn.mc?temp=22&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:50:06 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:50:07 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:50:08 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:50:09 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:50:10 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
192.168.0.158 - - [25/Nov/2021:10:50:11 +0900] "POST /semi/btn.mc?temp=23&btn=0 HTTP/1.1" 200 1241
